Site ID,Site Name,Country,Architecture Type,Architecture Type_Ref,Architecture Type_Ext,Construction Period,Construction Period_Ref,Construction Period_Ext,Civilization,Civilization_Ref,Civilization_Ext,UNESCO Criteria,UNESCO Criteria_Ref,UNESCO Criteria_Ext,Mentioned Major Stone(s),Mentioned Major Stone(s)_Ref,Mentioned Major Stone(s)_Ext,Rock Class,Rock Class_Ref,Rock Class_Ext,Secondary Stone,Secondary Stone_Ref,Secondary Stone_Ext,Local Stone Name,Local Stone Name_Ref,Local Stone Name_Ext,Lithology,Lithology_Ref,Lithology_Ext,Geological Age,Geological Age_Ref,Geological Age_Ext,Formation,Formation_Ref,Formation_Ext,Colour,Colour_Ref,Colour_Ext,Texture,Texture_Ref,Texture_Ext,Minerals,Minerals_Ref,Minerals_Ext,Quarry,Quarry_Ref,Quarry_Ext,Quarry Country,Quarry Country_Ref,Quarry Country_Ext,Local vs Imported,Local vs Imported_Ref,Local vs Imported_Ext,Transport Distance,Transport Distance_Ref,Transport Distance_Ext,Structural Use,Structural Use_Ref,Structural Use_Ext,Decorative Use,Decorative Use_Ref,Decorative Use_Ext,Masonry Technique,Masonry Technique_Ref,Masonry Technique_Ext,Weathering,Weathering_Ref,Weathering_Ext,Replacement Stone,Replacement Stone_Ref,Replacement Stone_Ext,Restoration,Restoration_Ref,Restoration_Ext,Condition,Condition_Ref,Condition_Ext,UNESCO Mention,Other references
252.0,Taj Mahal,India,Indo-Islamic sepulchral architecture,Internal (DS/OUV),,1632 AD - 1653 AD (Main mausoleum completed 1648 AD),Internal (DS/OUV),,Mughal Empire,Internal (DS/OUV),,(i) to represent a masterpiece of human creative genius;,Internal (DS/OUV),,White Marble,Internal (DS/OUV),,Sedimentary Rock,External,https://iugs-geoheritage.org/geoheritage_stones/makrana-marble/,Red Sandstone,Internal (DS/OUV),https://iugs-geoheritage.org/geoheritage_stones/makrana-marble/,Makrana Marble (Note: This is historically accurate but missing from the official UNESCO text),External,https://iugs-geoheritage.org/geoheritage_stones/makrana-marble/,Sedimentary (Quartzarenite),,,Proterozoic (Delhi Supergroup / Aravalli Supergroup for Makrana Marble); Mesoproterozoic (Vindhyan Supergroup for Red Sandstone),External,"(PDF) Rajnagar Marble: a Prominent Heritage Stone from Rajasthan, NW India. (n.d.). ResearchGate. https://www.researchgate.net/publication/356953335_Rajnagar_Marble_a_Prominent_Heritage_Stone_from_Rajasthan_NW_India",Delhi Supergroup (Makrana Group) / Vindhyan Supergroup,External,https://iugs-geoheritage.org/geoheritage_stones/makrana-marble/,ure white with greyish veins (Marble); Reddish-brown (Sandstone),Internal (DS/OUV),,,,,"Calcite (chiefly), with minor quartz and mica",External,https://iugs-geoheritage.org/geoheritage_stones/makrana-marble/,"Makrana (Nagaur District, Rajasthan) for White Marble; Tantpur/Sikri region for Red Sandstone",External,https://iugs-geoheritage.org/geoheritage_stones/makrana-marble/,India,Internal (DS/OUV),,"Imported / Regional Transport (~300 km from Makrana, Rajasthan to Agra)",External,https://iugs-geoheritage.org/geoheritage_stones/makrana-marble/,~300 km (from Makrana quarries in Rajasthan to Agra),External,https://iugs-geoheritage.org/geoheritage_stones/makrana-marble/,"Main tomb structure, minarets, platforms, domes, and wall veneering.",Internal (DS/OUV),,"Exquisite octagonal marble lattice screens, pietra dura stone intarsia inlay (using precious/semi-precious stones), floral relief motifs, and Arabic calligraphic inscriptions.",Internal (DS/OUV),,Brick-in-lime mortar core veneered with dressed stone slices.,Internal (DS/OUV),,Deterioration due to atmospheric pollutants; monitored constantly via an air control monitoring station installed on site,Internal (DS/OUV),,,,,Continuous repairs and conservation works conducted since the British period in India and ongoing under Archaeological Survey of India (ASI) management,Internal (DS/OUV),,Good,,,Yes,
174.0,Historic Centre of Florence,Italy,Rmoan Buildings and Architecture,Internal (DS/OUV),,13th to 17th Century (with Roman/Etruscan foundation roots dating back to 59 BC),Internal (DS/OUV),,"Etruscan, Roman, Medieval, Italian Renaissance",Internal (DS/OUV),,,Internal (DS/OUV),,"Pietra Forte, Pietra Serena",Internal (DS/OUV),,Sedimentary Rock,,,"Carrara Marble, White Marble, Prato Serpentinite (Green Marble/Verde di Prato), Plasterwork",Internal (DS/OUV),,"Pietra Forte, Pietra Serena, Pietra Bigia",,,Fine-grained lithic arenite with calcite cement (Pietra Forte); Medium-to-coarse-grained quartzose-feldspathic greywacke / sandstone (Pietra Serena),External,"(PDF) The sandstone’s chromatic alteration of the florentine cultural heritage. (2007, January 1). ResearchGate. https://www.researchgate.net/publication/258615958_The_sandstone's_chromatic_alteration_of_the_florentine_cultural_heritage",Upper Cretaceous (Pietra Forte); Upper Oligocene to Lower Miocene (Pietra Serena),External,https://www.isprambiente.gov.it/files/pubblicazioni/periodicitecnici/memorie/memorielxiii/d04.pdf,External Liguride Complex / Pietraforte Formation (Pietra Forte); Macigno Formation / Monte Modino Formation (Pietra Serena),External,"(PDF) The sandstone’s chromatic alteration of the florentine cultural heritage. (2007, January 1). ResearchGate. https://www.researchgate.net/publication/258615958_The_sandstone's_chromatic_alteration_of_the_florentine_cultural_heritage","Ochre / Yellowish-brown when weathered (Pietra Forte); Bluish-grey fresh, oxidizing to ochre/reddish-brown (Pietra Serena)",External,,"Fine-grained (Pietra Forte); Medium-to-coarse-grained (Pietra Serena)
",,,"Quartz, Feldspar, Micas (Biotite), Calcite cement, Clay matrix (Illite, Kaolinite, Chlorite)",,,"Fiesole ridge (Monte Ceceri, Settignano, Vincigliata), Gonfolina, Carmignano (Pietra Serena); Boboli, Costa San Giorgio, Monteripaldi (Pietra Forte); Apuan Alps / Carrara (Marble)",External,https://www.isprambiente.gov.it/files/pubblicazioni/periodicitecnici/memorie/memorielxiii/d04.pdf,Italy,Internal (DS/OUV),,Local (Pietra Forte & Pietra Serena are indigenous Tuscan stones); Regional/Imported (Carrara Marble from Apuan Alps),Internal (DS/OUV),,Local (Within < 5 km to 30 km radius surrounding Florence),External,https://www.isprambiente.gov.it/files/pubblicazioni/periodicitecnici/memorie/memorielxiii/d04.pdf,"Bearing structures, heavy foundation blocks, load-bearing walls, bridge piers, city walls, rustic ashlar facades",Internal (DS/OUV),,"Internal columns, capitals, window frames, lintels, balustrades, relief carving, architectural molding",Internal (DS/OUV),,"Rusticated ashlar masonry (Bozzi / Bozzette), dressed stone masonry, cobblestone paving, plasterwork combined with dressed stone",Internal (DS/OUV),,"Exfoliation, peeling, clay swelling, Fe²⁺ to Fe³⁺ iron oxidation causing chromatic alteration (reddish-brown staining), atmospheric pollution decay",Internal (DS/OUV),,"Firenzuola Sandstone (Pietra di Firenzuola), artificial stone mortars, replacement Pietra Serena",External,https://www.isprambiente.gov.it/files/pubblicazioni/periodicitecnici/memorie/memorielxiii/d04.pdf,"Conservative consolidation, emergency flood mitigation measures, plaster and mortar repair, structural conservation practices",Internal (DS/OUV),,Good,Internal (DS/OUV),,Yes,"1. UNESCO World Heritage Centre Dossier: Historic Centre of Florence (Site 174)


2. Fratini et al., The sandstone's chromatic alteration of the florentine cultural heritage: ResearchGate Publication


3. Canuti et al., Geolithology and provenance of materials of some historical buildings and monuments in the centre of Florence: ISPRA Field Guide Document"
788.0,Early Christian Monuments of Ravenna,Italy,,Internal (DS/OUV),,,Internal (DS/OUV),,,Internal (DS/OUV),,,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
