Index,Site ID,Site Name,Country,Architecture Type,Construction Period,Civilization,UNESCO Criteria,Mentioned Major Stone(s),Secondary Stone,Local Stone Name,Lithology,Geological Age,Formation,Colour,Texture,Minerals,Quarry,Quarry Country,Local vs Imported,Transport Distance,Structural Use,Decorative Use,Masonry Technique,Weathering,Replacement Stone,Restoration,Condition,GHSR,Heritage Stone Candidate,Geoheritage Value,UNESCO Mention,Wikipedia Mention,Research Papers,Confidence Score
35,91.0,"Historic Centre of Rome, the Properties of the Holy See in that City Enjoying Extraterritorial Rights and San Paolo Fuori le Mura","Holy See,Italy",,,,(i)(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
36,725.0,Caves of Aggtelek Karst and Slovak Karst,"Hungary,Slovakia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1276.0,Rhaetian Railway in the Albula / Bernina Landscapes,"Italy,Switzerland",,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1090.0,Monte San Giorgio,"Italy,Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1490.0,Western Tien-Shan,"Kazakhstan,Kyrgyzstan,Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1693.0,Cold Winter Deserts of Turan,"Kazakhstan,Turkmenistan,Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,951.0,Phong Nha-Ke Bang National Park and Hin Nam No National Park,"Lao People's Democratic Republic,Viet Nam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,985.0,Maloti-Drakensberg Park,"Lesotho,South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,994.0,Curonian Spit,"Lithuania,Russian Federation",,,,(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
44,769.0,Uvs Nuur Basin,"Mongolia,Russian Federation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1448.0,Landscapes of Dauria,"Mongolia,Russian Federation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,914.0,iSimangaliso Wetland Park – Maputo National Park,"Mozambique,South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1424.0,Wooden <em>Tserkvas</em> of the Carpathian Region in Poland and Ukraine,"Poland,Ukraine",,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
48,866.0,Prehistoric Rock Art Sites in the Côa Valley and Siega Verde,"Portugal,Spain",,,,(i)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1313.0,Heritage of Mercury. Almadén and Idrija,"Slovenia,Spain",,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1675.0,Silk Roads: Zarafshan-Karakum Corridor,"Tajikistan,Turkmenistan,Uzbekistan",,,,(ii)(iii)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
51,509.0,Mosi-oa-Tunya / Victoria Falls,"Zambia,Zimbabwe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,208.0,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Afghanistan,,,,(i)(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
53,211.0,Minaret and Archaeological Remains of Jam,Afghanistan,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
54,570.0,Butrint,Albania,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
55,569.0,Historic Centres of Berat and Gjirokastra,Albania,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
56,102.0,Al Qal'a of Beni Hammad,Algeria,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
57,179.0,Tassili n'Ajjer,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,188.0,M'Zab Valley,Algeria,,,,(ii)(iii)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
59,191.0,Djémila,Algeria,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
60,193.0,Tipasa,Algeria,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
61,194.0,Timgad,Algeria,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
62,565.0,Kasbah of Algiers,Algeria,,,,(ii)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1160.0,Madriu-Perafita-Claror Valley,Andorra,,,,(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1511.0,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",Angola,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1499.0,Antigua Naval Dockyard and Related Archaeological Sites,Antigua and Barbuda,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
66,145.0,Los Glaciares National Park,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,303.0,Iguazu National Park,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,936.0,"Cueva de las Manos, Río Pinturas",Argentina,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
69,937.0,Península Valdés,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,966.0,Ischigualasto / Talampaya Natural Parks,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,995.0,Jesuit Block and Estancias of Córdoba,Argentina,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1116.0,Quebrada de Humahuaca,Argentina,,,,(ii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1526.0,Los Alerces National Park,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1681.0,"ESMA Museum and Site of Memory – Former Clandestine Centre of Detention, Torture and Extermination",Argentina,,,,(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
75,777.0,Monasteries of Haghpat and Sanahin,Armenia,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
76,960.0,Monastery of Geghard and the Upper Azat Valley,Armenia,,,,(ii),,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1011.0,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,Armenia,,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
78,154.0,Great Barrier Reef,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,167.0,Willandra Lakes Region,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,186.0,Lord Howe Island Group,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,368.0,Gondwana Rainforests of Australia,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,447.0,Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,486.0,Wet Tropics of Queensland,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,577.0,Heard and McDonald Islands,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,578.0,"Shark Bay, Western Australia",Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,629.0,Macquarie Island,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,630.0,K’gari,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,698.0,Australian Fossil Mammal Sites (Riversleigh / Naracoorte),Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,917.0,Greater Blue Mountains Area,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1094.0,Purnululu National Park,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,166.0,Sydney Opera House,Australia,,,,(i),,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1306.0,Australian Convict Sites,Australia,,,,(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1131.0,Royal Exhibition Building and Carlton Gardens,Australia,,,,(ii),,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1369.0,Ningaloo Coast,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,147.0,Kakadu National Park,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,181.0,Tasmanian Wilderness,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1577.0,Budj Bim Cultural Landscape,Australia,,,,(iii)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1709.0,Murujuga Cultural Landscape,Australia,,,,(i)(iii)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
99,784.0,Historic Centre of the City of Salzburg,Austria,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
100,785.0,Semmering Railway,Austria,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
101,786.0,Palace and Gardens of Schönbrunn,Austria,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1033.0,Historic Centre of Vienna,Austria,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
103,931.0,City of Graz – Historic Centre and Schloss Eggenberg,Austria,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
104,806.0,Hallstatt-Dachstein / Salzkammergut Cultural Landscape,Austria,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
105,970.0,Wachau Cultural Landscape,Austria,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
106,958.0,Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,Azerbaijan,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1076.0,Gobustan Rock Art Cultural Landscape,Azerbaijan,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1549.0,Historic Centre of Sheki with the Khan’s Palace,Azerbaijan,,,,(ii)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1696.0,Cultural Landscape of Khinalig People and “Köç Yolu” Transhumance Route,Azerbaijan,,,,(iii)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1364.0,"Pearling, Testimony of an Island Economy",Bahrain,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1192.0,Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,Bahrain,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1542.0,Dilmun Burial Mounds,Bahrain,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
113,321.0,Historic Mosque City of Bagerhat,Bangladesh,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
114,322.0,Ruins of the Buddhist Vihara at Paharpur,Bangladesh,,,,(i)(ii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
115,798.0,The Sundarbans,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1376.0,Historic Bridgetown and its Garrison,Barbados,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
117,625.0,Mir Castle Complex,Belarus,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1196.0,"Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh",Belarus,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
119,855.0,Flemish Béguinages,Belgium,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
120,856.0,"The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut)",Belgium,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
121,857.0,"La Grand-Place, Brussels",Belgium,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
122,996.0,Historic Centre of Brugge,Belgium,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1005.0,Major Town Houses of the Architect Victor Horta (Brussels),Belgium,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1006.0,Neolithic Flint Mines at Spiennes (Mons),Belgium,,,,(i)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1009.0,Notre-Dame Cathedral in Tournai,Belgium,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1185.0,Plantin-Moretus House-Workshops-Museum Complex,Belgium,,,,(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1298.0,Stoclet House,Belgium,,,,(i)(ii),,,,,,,,,,,,,,,,,,,,,,,,,,,
128,1344.0,Major Mining Sites of Wallonia,Belgium,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
129,764.0,Belize Barrier Reef Reserve System,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,323.0,Royal Palaces of Abomey,Benin,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
131,529.0,Jesuit Missions of the Chiquitos,Bolivia (Plurinational State of),,,,(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
132,566.0,Historic City of Sucre,Bolivia (Plurinational State of),,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
133,567.0,Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,Bolivia (Plurinational State of),,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
134,883.0,Fuerte de Samaipata,Bolivia (Plurinational State of),,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
135,967.0,Noel Kempff Mercado National Park,Bolivia (Plurinational State of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,420.0,City of Potosí,Bolivia (Plurinational State of),,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
137,946.0,Old Bridge Area of the Old City of Mostar,Bosnia and Herzegovina,,,,(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
138,1260.0,Mehmed Paša Sokolović Bridge in Višegrad,Bosnia and Herzegovina,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
139,1673.0,"Vjetrenica Cave, Ravno",Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,1021.0,Tsodilo,Botswana,,,,(i)(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1432.0,Okavango Delta,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,124.0,Historic Town of Ouro Preto,Brazil,,,,(i)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
143,189.0,Historic Centre of the Town of Olinda,Brazil,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
144,309.0,Historic Centre of Salvador de Bahia,Brazil,,,,(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
145,334.0,Sanctuary of Bom Jesus do Congonhas,Brazil,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
146,355.0,Iguaçu National Park,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,445.0,Brasilia,Brazil,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
148,606.0,Serra da Capivara National Park,Brazil,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
149,821.0,Historic Centre of São Luís,Brazil,,,,(iii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
150,890.0,Historic Centre of the Town of Diamantina,Brazil,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
151,892.0,Discovery Coast Atlantic Forest Reserves,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,893.0,Atlantic Forest South-East Reserves,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,993.0,Historic Centre of the Town of Goiás,Brazil,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
154,998.0,Central Amazon Conservation Complex,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,999.0,Pantanal Conservation Area,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,1000.0,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1272.0,São Francisco Square in the Town of São Cristóvão,Brazil,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
158,1100.0,Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,Brazil,,,,(v)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
159,1493.0,Pampulha Modern Ensemble,Brazil,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
160,1548.0,Valongo Wharf Archaeological Site,Brazil,,,,(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1308.0,Paraty and Ilha Grande – Culture and Biodiversity,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1620.0,Sítio Roberto Burle Marx,Brazil,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
163,1035.0,Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,1611.0,Lençóis Maranhenses National Park,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,1747.0,Peruaçu River Canyon,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,44.0,Thracian Tomb of Kazanlak,Bulgaria,,,,(i)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
167,45.0,Rock-Hewn Churches of Ivanovo,Bulgaria,,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
168,216.0,Rila Monastery,Bulgaria,,,,(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
169,219.0,Srebarna Nature Reserve,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,225.0,Pirin National Park,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,217.0,Ancient City of Nessebar,Bulgaria,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
172,42.0,Boyana Church,Bulgaria,,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
173,43.0,Madara Rider,Bulgaria,,,,(i)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
174,359.0,Thracian Tomb of Sveshtari,Bulgaria,,,,(i)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
175,1225.0,Ruins of Loropéni,Burkina Faso,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
176,1602.0,Ancient Ferrous Metallurgy Sites of Burkina Faso,Burkina Faso,,,,(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
177,1713.0,Royal Court of Tiébélé,Burkina Faso,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
178,1310.0,"Cidade Velha, Historic Centre of Ribeira Grande",Cabo Verde,,,,(ii)(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
179,668.0,Angkor,Cambodia,,,,(i)(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
180,1224.0,Temple of Preah Vihear,Cambodia,,,,(i),,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1532.0,"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",Cambodia,,,,(ii)(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
182,1667.0,Koh Ker: Archaeological Site of Ancient Lingapura or Chok Gargyar,Cambodia,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1748.0,Cambodian Memorial Sites: From centres of repression to places of peace and reflection,Cambodia,,,,(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
184,407.0,Dja Faunal Reserve,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,1745.0,Diy-Gid-Biy Cultural Landscape of the Mandara Mountains,Cameroon,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
186,24.0,Nahanni National Park,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,71.0,Dinosaur Provincial Park,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,157.0,S<U>G</U>ang Gwaay,Canada,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
189,256.0,Wood Buffalo National Park,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,300.0,Historic District of Old Québec,Canada,,,,(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
191,304.0,Canadian Rocky Mountain Parks,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,419.0,Gros Morne National Park,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,686.0,Miguasha National Park,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,741.0,Old Town Lunenburg,Canada,,,,(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
195,1221.0,Rideau Canal,Canada,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
196,1285.0,Joggins Fossil Cliffs,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
