Index,Site ID,Site Name,Country,Architecture Type,Construction Period,Civilization,UNESCO Criteria,Major Stone,Secondary Stone,Local Stone Name,Lithology,Geological Age,Formation,Colour,Texture,Minerals,Quarry,Quarry Country,Local vs Imported,Transport Distance,Structural Use,Decorative Use,Masonry Technique,Weathering,Replacement Stone,Restoration,Condition,GHSR,Heritage Stone Candidate,Geoheritage Value,UNESCO Mention,Wikipedia Mention,Research Papers,Confidence Score
182,271,Pilgrimage Church of Wies,Germany,,,,(i)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1379,Margravial Opera House Bayreuth,Germany,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
184,169,Würzburg Residence with the Court Gardens and Residence Square,Germany,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
185,623,"Mines of Rammelsberg, Historic Town of Goslar and Upper Harz Water Management System",Germany,,,,(i)(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
186,1087,Town Hall and Roland on the Marketplace of Bremen,Germany,,,,(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
187,733,"Ferrara, City of the Renaissance, and its Po Delta",Italy,,,,(ii)(iii)(iv)(v)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
188,819,"Historic Area of Willemstad, Inner City and Harbour, Curaçao",Netherlands (Kingdom of the),,,,(ii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
189,234,Churches and Convents of Goa,India,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
190,810,Historic City of Trogir,Croatia,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
191,759,Dutch Water Defence Lines,Netherlands (Kingdom of the),,,,(ii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
192,273,City of Cuzco,Peru,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
193,544,Kizhi Pogost,Russian Federation,,,,(i)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
194,906,Dacian Fortresses of the Orastie Mountains,Romania,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
195,835,Medieval Town of Toruń,Poland,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
196,29,Historic Centre of Kraków,Poland,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
197,742,Historic Centre of Santa Cruz de Mompox,Colombia,,,,(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
198,743,National Archeological Park of Tierradentro,Colombia,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
199,847,Castle of the Teutonic Order in Malbork,Poland,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
200,97,Historical Complex of Split with the Palace of Diocletian,Croatia,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
201,264,Monastery of Batalha,Portugal,,,,(i)(ii),,,,,,,,,,,,,,,,,,,,,,,,,,,
202,635,Bourges Cathedral,France,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
203,38,Amphitheatre of El Jem,Tunisia,,,,(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
204,332,Punic Town of Kerkuane and its Necropolis,Tunisia,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
205,710,Gelati Monastery,Georgia,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
206,832,Villa Romana del Casale,Italy,,,,(i)(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1635,"Nice, Winter Resort Town of the Riviera",France,,,,(ii),,,,,,,,,,,,,,,,,,,,,,,,,,,
208,871,Naval Port of Karlskrona,Sweden,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
209,823,Residences of the Royal House of Savoy,Italy,,,,(i)(ii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
210,829,"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata",Italy,,,,(iii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
211,263,Monastery of the Hieronymites and Tower of Belém in Lisbon,Portugal,,,,(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
212,1452,Bursa and Cumalıkızık: the Birth of the Ottoman Empire,Türkiye,,,,(i)(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
213,203,"From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt",France,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
214,344,Pont du Gard (Roman Aqueduct),France,,,,(i)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
215,165,Cistercian Abbey of Fontenay,France,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
216,1565,Hebron/Al-Khalil Old Town,State of Palestine,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
217,1055,Lamu Old Town,Kenya,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
218,872,Historic Site of Lyon,France,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
219,1295,"Fort Jesus, Mombasa",Kenya,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
220,311,Old Town of Segovia and its Aqueduct,Spain,,,,(i)(iii)(i)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
221,755,"Historic Centre of Oporto, Luiz I Bridge and Monastery of Serra do Pilar",Portugal,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
222,1572,Göbekli Tepe,Türkiye,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
223,602,Historic Centre of Bukhara,Uzbekistan,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
224,239,Group of Monuments at Pattadakal,India,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
225,1324,Historic Villages of Korea: Hahoe and Yangdong,Republic of Korea,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
226,514,Heart of Neolithic Orkney,United Kingdom of Great Britain and Northern Ireland,,,,(i)(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
227,817,Hwaseong Fortress,Republic of Korea,,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
228,505,Monastery of Alcobaça,Portugal,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
229,180,"National History Park – Citadel, Sans Souci, Ramiers",Haiti,,,,(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
230,1739,Maratha Military Landscapes of India,India,,,,(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
231,1570,"Kakatiya Rudreshwara (Ramappa) Temple, Telangana",India,,,,(i)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
232,795,Maritime Greenwich,United Kingdom of Great Britain and Northern Ireland,,,,(i)(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
233,1077,Takht-e Soleyman,Iran (Islamic Republic of),,,,(i)(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
234,1188,Soltaniyeh,Iran (Islamic Republic of),,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
235,496,"Canterbury Cathedral, St Augustine's Abbey, and St Martin's Church",United Kingdom of Great Britain and Northern Ireland,,,,(i)(ii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
236,902,Historic Centre of Sighişoara,Romania,,,,(iii)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
237,1054,Churches of Peace in Jawor and Świdnica,Poland,,,,(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
238,1114,Yin Xu,China,,,,(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
239,904,Wooden Churches of Maramureş,Romania,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
240,362,Old Town of Ghadamès,Libya,,,,(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
241,394,Venice and its Lagoon,Italy,,,,(i)(ii)(iii)(iv)(v)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
242,1499,Antigua Naval Dockyard and Related Archaeological Sites,Antigua and Barbuda,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
243,356,Historic Areas of Istanbul,Türkiye,,,,(i)(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
244,135,Fortifications on the Caribbean Side of Panama: Portobelo-San Lorenzo,Panama,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
245,322,Ruins of the Buddhist Vihara at Paharpur,Bangladesh,,,,(i)(ii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
246,996,Historic Centre of Brugge,Belgium,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
247,822,Historic Centre (Old Town) of Tallinn,Estonia,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
248,793,Historic City of Meknes,Morocco,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
249,1097,Ensemble of the Novodevichy Convent,Russian Federation,,,,(i)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
250,1202,Urban Historic Centre of Cienfuegos,Cuba,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
251,312,Monuments of Oviedo and the Kingdom of the Asturias,Spain,,,,(i)(ii)(i)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
252,1493,Pampulha Modern Ensemble,Brazil,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
253,433,Bahla Fort,Oman,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
254,815,"Hospicio Cabañas, Guadalajara",Mexico,,,,(i)(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
255,676,Historic Centre of Zacatecas,Mexico,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
256,585,Historic Centre of Morelia,Mexico,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
257,526,Colonial City of Santo Domingo,Dominican Republic,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
258,982,Ensemble of the Ferapontov Monastery,Russian Federation,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
259,863,Historic Centre of Santa Ana de los Ríos de Cuenca,Ecuador,,,,(ii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
260,750,"Ancient <I>Ksour</I> of Ouadane, Chinguetti, Tichitt and Oualata",Mauritania,,,,(iii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
261,791,Pre-Hispanic Town of Uxmal,Mexico,,,,(i)(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
262,529,Jesuit Missions of the Chiquitos,Bolivia (Plurinational State of),,,,(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
263,18,"Rock-Hewn Churches, Lalibela",Ethiopia,,,,(i)(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
264,1185,Plantin-Moretus House-Workshops-Museum Complex,Belgium,,,,(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
265,327,Quseir Amra,Jordan,,,,(i)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
266,1078,Jewish Quarter and St Procopius' Basilica in Třebíč,Czechia,,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
267,30,Historic Centre of Warsaw,Poland,,,,(ii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
268,1670,Sacred Ensembles of the Hoysalas,India,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
269,1070,"Citadel, Ancient City and Fortress Buildings of Derbent",Russian Federation,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
270,55,Røros Mining Town and the Circumference,Norway,,,,(iii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
271,861,Holašovice Historic Village,Czechia,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
272,901,Litomyšl Castle,Czechia,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
273,1585,Trans-Iranian Railway,Iran (Islamic Republic of),,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
274,993,Historic Centre of the Town of Goiás,Brazil,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
275,276,Samarra Archaeological City,Iraq,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
276,372,Studley Royal Park including the Ruins of Fountains Abbey,United Kingdom of Great Britain and Northern Ireland,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
277,659,Brú na Bóinne - Archaeological Ensemble of the Bend of the Boyne,Ireland,,,,(i)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
278,348,Old Town of Ávila with its Extra-Muros Churches,Spain,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
279,1096,White City of Tel-Aviv – the Modern Movement,Israel,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
280,792,Historic Monuments Zone of Querétaro,Mexico,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
281,695,Roskilde Cathedral,Denmark,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
282,294,Baalbek,Lebanon,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1424,Wooden <em>Tserkvas</em> of the Carpathian Region in Poland and Ukraine,"Poland,Ukraine",,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
284,1539,Tarnowskie Góry Lead-Silver-Zinc Mine and its Underground Water Management System,Poland,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
285,717,Historic Centre of Siena,Italy,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
286,804,"Palau de la Música Catalana and Hospital de Sant Pau, Barcelona",Spain,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
287,1170,Historical Centre of the City of Yaroslavl,Russian Federation,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
288,1399,Levuka Historical Port Town,Fiji,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
289,1402,Al Zubarah Archaeological Site,Qatar,,,,(iii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
290,1643,The works of Jože Plečnik in Ljubljana – Human Centred Urban Design,Slovenia,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
291,240,Khajuraho Group of Monuments,India,,,,(i)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
292,246,"Sun Temple, Konârak",India,,,,(i)(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
293,1358,Citadel of the Ho Dynasty,Viet Nam,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
294,1517,Archaeological Site of Philippi,Greece,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
295,986,Ciudad Universitaria de Caracas,Venezuela (Bolivarian Republic of),,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
296,479,Town of Luang Prabang,Lao People's Democratic Republic,,,,(ii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
297,265,Convent of Christ in Tomar,Portugal,,,,(i)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
298,977,"Gochang, Hwasun and Ganghwa Dolmen Sites",Republic of Korea,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
299,247,Hill Forts of Rajasthan,India,,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
300,144,Ruins of Kilwa Kisiwani and Ruins of Songo Mnara,United Republic of Tanzania,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
301,1268,Historic Centre of Agadez,Niger,,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
302,493,Medieval City of Rhodes,Greece,,,,(ii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
303,491,Sanctuary of Asklepios at Epidaurus,Greece,,,,(i)(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
304,712,City of Vicenza and the Palladian Villas of the Veneto,Italy,,,,(i)(ii),,,,,,,,,,,,,,,,,,,,,,,,,,,
305,488,Tower of London,United Kingdom of Great Britain and Northern Ireland,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
306,1552,Roșia Montană Mining Landscape,Romania,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
307,776,Itsukushima Shinto Shrine,Japan,,,,(i)(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
308,668,Angkor,Cambodia,,,,(i)(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
309,87,Ancient Thebes with its Necropolis,Egypt,,,,(i)(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
310,414,Pre-Hispanic City of Teotihuacan,Mexico,,,,(i)(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
311,884,"Three Castles, Defensive Wall and Ramparts of the Market-Town of Bellinzona",Switzerland,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
312,940,Historic Inner City of Paramaribo,Suriname,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
313,980,Historic and Architectural Complex of the Kazan Kremlin,Russian Federation,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
314,20,Ancient City of Damascus,Syrian Arab Republic,,,,(i)(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
315,1073,Gebel Barkal and the Sites of the Napatan Region,Sudan,,,,(i)(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
316,1200,Syracuse and the Rocky Necropolis of Pantalica,Italy,,,,(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
317,502,Historic City of Vigan,Philippines,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
318,990,"Assisi, the Basilica of San Francesco and Other Franciscan Sites",Italy,,,,(i)(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
319,661,Himeji-jo,Japan,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
320,688,"Historic Monuments of Ancient Kyoto (Kyoto, Uji and Otsu Cities)",Japan,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
321,574,Historic Town of Sukhothai and Associated Historic Towns,Thailand,,,,(i)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
322,762,"Church Town of Gammelstad, Luleå",Sweden,,,,(ii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
323,932,Jurisdiction of Saint-Emilion,France,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
324,770,Canal du Midi,France,,,,(i)(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
325,870,Historic Monuments of Ancient Nara,Japan,,,,(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
326,12,Tiya,Ethiopia,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
327,797,City of Verona,Italy,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
328,1139,Tomb of Askia,Mali,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
329,1367,Garrison Border Town of Elvas and its Fortifications,Portugal,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
330,482,Historic Town of Guanajuato and Adjacent Mines,Mexico,,,,(i)(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
331,84,"Vézelay, Church and Hill",France,,,,(i)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
332,366,Chan Chan Archaeological Zone,Peru,,,,(i)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
333,1444,Pyu Ancient Cities,Myanmar,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
334,826,"Portovenere, Cinque Terre, and the Islands (Palmaria, Tino and Tinetto)",Italy,,,,(ii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
335,1217,Vizcaya Bridge,Spain,,,,(i)(ii),,,,,,,,,,,,,,,,,,,,,,,,,,,
336,1590,Sanctuary of Bom Jesus do Monte in Braga,Portugal,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
337,170,Medina of Fez,Morocco,,,,(ii)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
338,723,Cultural Landscape of Sintra,Portugal,,,,(ii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
339,825,Archaeological Area and the Patriarchal Basilica of Aquileia,Italy,,,,(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
340,657,Architectural Ensemble of the Trinity Sergius Lavra in Sergiev Posad,Russian Federation,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
341,148,Old City of Jerusalem and its Walls,Jerusalem (Site proposed by Jordan),,,,(ii)(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
342,899,Droogmakerij de Beemster (Beemster Polder),Netherlands (Kingdom of the),,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
343,1749,Saint Hilarion Monastery/ Tell Umm Amer,State of Palestine,,,,(ii)(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
344,1525,Assumption Cathedral and Monastery of the town-island of Sviyazhsk,Russian Federation,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
345,987,Roman Walls of Lugo,Spain,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
346,678,Complex of Hué Monuments,Viet Nam,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
347,634,"Church of the Ascension, Kolomenskoye",Russian Federation,,,,(ii),,,,,,,,,,,,,,,,,,,,,,,,,,,
348,648,Jesuit Missions of La Santísima Trinidad de Paraná and Jesús de Tavarangue,Paraguay,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
349,597,Monastery of Horezu,Romania,,,,(ii),,,,,,,,,,,,,,,,,,,,,,,,,,,
350,1519,Aphrodisias,Türkiye,,,,(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
351,1518,Archaeological Site of Ani,Türkiye,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
352,93,Church and Dominican Convent of Santa Maria delle Grazie with “The Last Supper” by Leonardo da Vinci,Italy,,,,(i)(ii),,,,,,,,,,,,,,,,,,,,,,,,,,,
353,416,Historic Centre of Puebla,Mexico,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
354,371,Ironbridge Gorge,United Kingdom of Great Britain and Northern Ireland,,,,(i)(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
355,830,Costiera Amalfitana,Italy,,,,(ii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
356,1662,The Ancient Town of Si Thep and its Associated Dvaravati Monuments,Thailand,,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
357,1079,Franciscan Missions in the Sierra Gorda of Querétaro,Mexico,,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
358,842,"Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula",Italy,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
359,347,Santiago de Compostela (Old Town),Spain,,,,(i)(ii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
360,728,Old and New Towns of Edinburgh,United Kingdom of Great Britain and Northern Ireland,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
361,1455,Susa,Iran (Islamic Republic of),,,,(i)(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
362,1398,Gonbad-e Qābus,Iran (Islamic Republic of),,,,(i)(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
363,314,"Alhambra, Generalife and Albayzín, Granada",Spain,,,,(i)(iii)(i)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
364,1106,Pasargadae,Iran (Islamic Republic of),,,,(i)(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
365,115,"Meidan Emam, Esfahan",Iran (Islamic Republic of),,,,(i)(v)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
366,114,Persepolis,Iran (Islamic Republic of),,,,(i)(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
367,592,Borobudur Temple Compounds,Indonesia,,,,(i)(ii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
368,1459,"Qhapaq Ñan, Andean Road System","Argentina,Bolivia (Plurinational State of),Chile,Colombia,Ecuador,Peru",,,,(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
369,1711,Moidams – the Mound-Burial System of the Ahom Dynasty,India,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
370,631,"El Tajin, Pre-Hispanic City",Mexico,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
371,984,Blaenavon Industrial Landscape,United Kingdom of Great Britain and Northern Ireland,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
372,1158,Etruscan Necropolises of Cerveteri and Tarquinia,Italy,,,,(i)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
373,441,Mausoleum of the First Qin Emperor,China,,,,(i)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
374,941,Archaeological Sites of Mycenae and Tiryns,Greece,,,,(i)(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
375,841,"San Pedro de la Roca Castle, Santiago de Cuba",Cuba,,,,(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
376,960,Monastery of Geghard and the Upper Azat Valley,Armenia,,,,(ii),,,,,,,,,,,,,,,,,,,,,,,,,,,
377,777,Monasteries of Haghpat and Sanahin,Armenia,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
378,1592,Archaeological Ruins of Liangzhu City,China,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
379,785,Semmering Railway,Austria,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
380,1447,Carolingian Westwork and Civitas Corvey,Germany,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
381,1039,Yungang Grottoes,China,,,,(i)(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
382,579,Bronze Age Burial Site of Sammallahdenmäki,Finland,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
