Index,Site ID,Site Name,Country,Architecture Type,Construction Period,Civilization,UNESCO Criteria,Major Stone,Secondary Stone,Local Stone Name,Lithology,Geological Age,Formation,Colour,Texture,Minerals,Quarry,Quarry Country,Local vs Imported,Transport Distance,Structural Use,Decorative Use,Masonry Technique,Weathering,Replacement Stone,Restoration,Condition,GHSR,Heritage Stone Candidate,Geoheritage Value,UNESCO Mention,Wikipedia Mention,Research Papers,Confidence Score
39,1605,"Jaipur City, Rajasthan",India,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1005,Major Town Houses of the Architect Victor Horta (Brussels),Belgium,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
41,426,Palace of Westminster and Westminster Abbey including Saint Margaret’s Church,United Kingdom of Great Britain and Northern Ireland,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
42,241,Group of Monuments at Hampi,India,,,,(i)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
43,983,"Historic Town of St George and Related Fortifications, Bermuda",United Kingdom of Great Britain and Northern Ireland,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
44,758,Millenary Benedictine Abbey of Pannonhalma and its Natural Environment,Hungary,,,,(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1033,Historic Centre of Vienna,Austria,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
46,665,Royal Monastery of Santa María de Guadalupe,Spain,,,,(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
47,821,Historic Centre of São Luís,Brazil,,,,(iii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
48,945,Chhatrapati Shivaji Terminus (formerly Victoria Terminus),India,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
49,3,Aachen Cathedral,Germany,,,,(i)(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
50,633,White Monuments of Vladimir and Suzdal,Russian Federation,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1103,Mausoleum of Khoja Ahmed Yasawi,Kazakhstan,,,,(i)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
52,389,Studenica Monastery,Serbia,,,,(i)(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
53,550,Historic Centre of San Gimignano,Italy,,,,(i)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
54,527,"Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings, Kyiv-Pechersk Lavra",Ukraine,,,,(i)(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
55,124,Historic Town of Ouro Preto,Brazil,,,,(i)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
56,233,"Qutb Minar and its Monuments, Delhi",India,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1165,Centennial Hall in Wrocław,Poland,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1189,"Harar Jugol, the Fortified Historic Town",Ethiopia,,,,(ii)(iii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
59,541,Vilnius Historic Centre,Lithuania,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1376,Historic Bridgetown and its Garrison,Barbados,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
61,189,Historic Centre of the Town of Olinda,Brazil,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
62,415,Historic Centre of Oaxaca and Archaeological Site of Monte Albán,Mexico,,,,(i)(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
63,616,Historic Centre of Prague,Czechia,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
64,313,Historic Centre of Cordoba,Spain,,,,(i)(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
65,586,Rohtas Fort,Pakistan,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1532,"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",Cambodia,,,,(ii)(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1443,The Grand Canal,China,,,,(i)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
68,811,Old Town of Lijiang,China,,,,(ii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
69,500,Historic Centre of Lima,Peru,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
70,361,Historic Centre of Évora,Portugal,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
71,707,"Historic Ensemble of the Potala Palace, Lhasa",China,,,,(i)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
