id,name,category,region,latitude,longitude,is_endangered,is_transnational,iso_code,date_inscribed
1612,The work of engineer Eladio Dieste: Church of Atlántida,Cultural,,,,0,0,uy,2021
543,Itchan Kala,Cultural,,,,0,0,uz,1990
603,Samarkand – Crossroad of Cultures,Cultural,,,,0,0,uz,2001
885,Historic Centre of Shakhrisyabz,Cultural,,,,0,0,uz,2000
602,Historic Centre of Bukhara,Cultural,,,,0,0,uz,1993
1766,Tashkent Modernist Architecture. Modernity and Tradition in Central Asia,Cultural,,,,0,0,uz,2026
1280,Chief Roi Mata’s Domain,Cultural,,,,0,0,vu,2008
658,Coro and its Port,Cultural,,,,1,0,ve,1993
701,Canaima National Park,Natural,,,,0,0,ve,1994
986,Ciudad Universitaria de Caracas,Cultural,,,,0,0,ve,2000
678,Complex of Hué Monuments,Cultural,,,,0,0,vn,1993
948,Hoi An Ancient Town,Cultural,,,,0,0,vn,1999
949,My Son Sanctuary,Cultural,,,,0,0,vn,1999
1328,Central Sector of the Imperial Citadel of Thang Long - Hanoi,Cultural,,,,0,0,vn,2010
1358,Citadel of the Ho Dynasty,Cultural,,,,0,0,vn,2011
1438,Trang An Landscape Complex,Mixed,,,,0,0,vn,2014
672,Ha Long Bay - Cat Ba Archipelago,Natural,,,,0,0,vn,1994
1732,"Yen Tu-Vinh Nghiem-Con Son, Kiep Bac Complex of Monuments and Landscapes",Cultural,,,,0,0,vn,2025
192,Old Walled City of Shibam,Cultural,,,,0,0,ye,1982
385,Old City of Sana'a,Cultural,,,,0,0,ye,1986
611,Historic Town of Zabid,Cultural,,,,1,0,ye,1993
1263,Socotra Archipelago,Natural,,,,0,0,ye,2008
1700,"Landmarks of the Ancient Kingdom of Saba, Marib",Cultural,,,,0,0,ye,2023
302,"Mana Pools National Park, Sapi and Chewore Safari Areas",Natural,,,,0,0,zw,1984
306,Matobo Hills,Cultural,,,,0,0,zw,2003
364,Great Zimbabwe National Monument,Cultural,,,,0,0,zw,1986
365,Khami Ruins National Monument,Cultural,,,,0,0,zw,1986
