unesco_id,site_name,category,region,country,latitude,longitude,brief_description,ouv_statement,criteria,is_built_monument,bm_confidence,bm_score,bm_reasons,bm_exclusions,bm_title_hits,bm_body_hits_count,stone_count_v2,stone_types_found_v2,stone_geological_class_v2,named_trade_stones_v2,decorative_minerals_v2,construction_terms_v2,architectural_elements_v2,matched_title_terms_v2,matched_categories_v2,unesco_url,earth_science_terms_v2,csm_score,csm_confidence,csm_materials_count,csm_reasons
1809,Sebastia,Cultural,Arab States,State of Palestine,,,,,(iii),False,NONE,0,,,,0,0,,,,,,,,,https://whc.unesco.org/en/list/1809,,0,NONE,0,No explicit stone/construction terms in schema
1735,Faya Palaeolandscape,Cultural,Arab States,United Arab Emirates,,,"Located between the Persian Gulf and Arabian Sea, the property preserves evidence of human occupation from the Middle Palaeolithic and Neolithic periods (210,000–6,000 years ago). Archaeological layers reveal how hunter-gatherers and pastoralists adapted to extreme climates, alternating between arid and rainy periods every 20,000 years. Beyond subsistence activities, early human groups utilized the site's geomorphological features for resource extraction. With diverse water sources and raw materials, Faya provides valuable insights into human resilience in hyper-arid environments.",MISSING_ON_WEBSITE,(iii)(iv),False,NONE,0,,,,0,0,,,,,,,,Criterion_iv,https://whc.unesco.org/en/list/1735,geomorphological,0,NONE,0,No explicit stone/construction terms in schema
1201,Mount Mulanje Cultural Landscape,Cultural,Africa,Malawi,,,"This property encompasses the mountain range located in southern Malawi, with the imposing Mount Mulanje—one of the world’s largest inselbergs—and its surrounding environment. Revered as a sacred place inhabited by gods, spirits, and ancestors, it holds deep cultural and spiritual significance. The mountain’s geological and hydrological features are connected with the belief systems and cultural practices of the Yao, Mang’anja, and Lhomwe peoples. These communities have sustained the mountain’s sacredness through rituals and traditions, making the site a sacred cultural landscape that reflects the spiritual and ecological harmony between people and nature.",,(iii)(vi),False,NONE,-8,EXCLUSION[cultural landscape],cultural landscape,,0,0,,,,,,,,,https://whc.unesco.org/en/list/1201,,0,NONE,0,No explicit stone/construction terms in schema
1709,Murujuga Cultural Landscape,Cultural,Asia and the Pacific,Australia,,,"Murujuga is a deeply storied land and seascape located in northwest Australia. It encompasses the Burrup Peninsula, the Dampier Archipelago, surrounding marine areas and the submerged landscape. Murujuga is shaped by the Lore — rules and narratives put in place to create the Country — and the enduring presence of the Ngarda-Ngarli, Traditional Owners and Custodians of the site. The property holds profound cultural and spiritual significance, reflecting over 50,000 years of continuous care and management by Traditional Law that has adapted to the changing needs of Country over periods of dramatic climatic and environmental change. Murujuga is renowned for its dense concentration of archaeological and spiritual sites that reflect the interaction between people and place over thousands of generations. Its extraordinary rock art assemblage records a complex system of Lore and Traditional Law, features unique motifs and demonstrates artistic and technical mastery.",,(i)(iii)(v),False,NONE,-16,"EXCLUSION[rock art, cultural landscape]",rock art; cultural landscape,,0,0,,,,,,,,Criterion_i,https://whc.unesco.org/en/list/1709,,0,NONE,0,No explicit stone/construction terms in schema
